Status;Task type;Topology name;Inference Framework;Device;Dataset;Type accuracy;Precision;Objects;Accuracy
SUCCESS;classification;alexnet;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_1;FP32;100;55.00%
SUCCESS;classification;alexnet;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_5;FP32;100;81.00%
SUCCESS;classification;alexnet;dlsdk;GPU;imagenet_1000_classes;accuracy@top_k_1;FP32;100;55.00%
SUCCESS;classification;alexnet;dlsdk;GPU;imagenet_1000_classes;accuracy@top_k_5;FP32;100;81.00%
SUCCESS;classification;caffenet;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_1;FP32;100;55.00%
SUCCESS;classification;caffenet;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_5;FP32;100;81.00%
SUCCESS;classification;caffenet;dlsdk;GPU;imagenet_1000_classes;accuracy@top_k_1;FP32;100;55.00%
SUCCESS;classification;caffenet;dlsdk;GPU;imagenet_1000_classes;accuracy@top_k_5;FP32;100;81.00%
SUCCESS;classification;densenet-121;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_1;FP32;100;73.00%
SUCCESS;classification;densenet-121;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_1;FP32;500;75.00%
SUCCESS;classification;densenet-121;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_5;FP32;100;94.00%
SUCCESS;classification;densenet-161;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_1;FP32;500;79.00%
SUCCESS;classification;densenet-161;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_5;FP32;500;95.00%
SUCCESS;classification;densenet-169;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_1;FP32;100;77.00%
SUCCESS;classification;densenet-169;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_5;FP32;100;95.00%
SUCCESS;classification;googlenet-v1;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_1;FP32;100;70.00%
SUCCESS;classification;mobilenet-v1-0.25-128;dlsdk;CPU;imagenet_1001_classes;accuracy@top_k_1;FP32;100;41.00%
SUCCESS;classification;mobilenet-v1-0.25-128;dlsdk;CPU;imagenet_1001_classes;accuracy@top_k_5;FP32;100;71.00%
SUCCESS;classification;mobilenet-v1-0.5-160;dlsdk;CPU;imagenet_1001_classes;accuracy@top_k_1;FP32;80;58.00%
SUCCESS;classification;mobilenet-v1-0.5-160;dlsdk;CPU;imagenet_1001_classes;accuracy@top_k_5;FP32;80;84.00%
SUCCESS;classification;mobilenet-v1-0.5-224;dlsdk;CPU;imagenet_1001_classes;accuracy@top_k_1;FP32;100;59.00%
FAILED;classification;mobilenet-v1-0.5-224;dlsdk;CPU;imagenet_1001_classes;accuracy;;;
SUCCESS;classification;mobilenet-v1-1.0-224;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_1;FP32;100;73.00%
SUCCESS;classification;mobilenet-v1-1.0-224;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_5;FP32;100;91.00%
FAILED;classification;mobilenet-v1-1.0-224;dlsdk;GPU;imagenet_1000_classes;accuracy@top_k_1;;;
FAILED;classification;mobilenet-v1-1.0-224;dlsdk;GPU;imagenet_1000_classes;accuracy@top_k_5;;;
SUCCESS;classification;mobilenet-v2;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_1;FP32;100;71.00%
SUCCESS;classification;mobilenet-v2;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_5;FP32;100;90.00%
SUCCESS;classification;mobilenet-v2-1.0-224;dlsdk;CPU;imagenet_1001_classes;accuracy@top_k_1;FP32;100;74.00%
SUCCESS;classification;mobilenet-v2-1.0-224;dlsdk;CPU;imagenet_1001_classes;accuracy@top_k_5;FP32;100;93.00%
SUCCESS;classification;mobilenet-v2-1.4-224;dlsdk;CPU;imagenet_1001_classes;accuracy@top_k_1;FP32;100;75.00%
SUCCESS;classification;mobilenet-v2-1.4-224;dlsdk;CPU;imagenet_1001_classes;accuracy@top_k_5;FP32;100;93.00%
SUCCESS;classification;mobilenet-v2-1.4-224;dlsdk;GPU;imagenet_1001_classes;accuracy@top_k_1;FP32;100;75.00%
SUCCESS;classification;mobilenet-v2-1.4-224;dlsdk;GPU;imagenet_1001_classes;accuracy@top_k_5;FP32;100;93.00%
SUCCESS;classification;squeezenet1.0;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_1;FP32;100;62.00%
FAILED;classification;squeezenet1.0;dlsdk;CPU;imagenet_1000_classes;mse;;;
SUCCESS;classification;squeezenet1.1;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_1;FP32;100;56.00%
SUCCESS;classification;squeezenet1.1;dlsdk;CPU;imagenet_1000_classes;accuracy@top_k_5;FP32;100;85.00%
